更新时间: 2026-03-23 00:59:31（北京时间）

更新时间,#genre#
2026-03-23 00:59:31,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://222.188.161.145:4022/rtp/239.49.8.19:9614$江苏电信
CCTV1,http://171.8.84.159:8800/rtp/239.16.20.1:10010$河南电信
CCTV1,http://123.114.17.150:4000/rtp/239.3.1.129:8008$北京市联通
CCTV2,http://222.188.161.145:4022/rtp/239.49.8.50:9802$江苏电信
CCTV2,http://171.8.84.159:8800/rtp/239.16.20.2:10020$河南电信
CCTV2,http://123.114.17.150:4000/rtp/239.3.1.60:8084$北京市联通
CCTV3,http://222.188.161.145:4022/rtp/239.49.8.74:8000$江苏电信
CCTV3,http://171.8.84.159:8800/rtp/239.16.20.3:10030$河南电信
CCTV3,http://123.114.17.150:4000/rtp/239.3.1.172:8001$北京市联通
CCTV4,http://222.188.161.145:4022/rtp/239.49.8.51:9806$江苏电信
CCTV4,http://171.8.84.159:8800/rtp/239.16.20.4:10040$河南电信
CCTV4,http://123.114.17.150:4000/rtp/239.3.1.105:8092$北京市联通
CCTV4欧洲,http://123.114.17.150:4000/rtp/239.3.1.213:4220$北京市联通
CCTV4美洲,http://123.114.17.150:4000/rtp/239.3.1.214:4220$北京市联通
CCTV5,http://222.188.161.145:4022/rtp/239.49.8.75:8000$江苏电信
CCTV5,http://171.8.84.159:8800/rtp/239.16.20.53:10530$河南电信
CCTV5,http://123.114.17.150:4000/rtp/239.3.1.173:8001$北京市联通
CCTV5+,http://222.188.161.145:4022/rtp/239.49.8.18:9610$江苏电信
CCTV5+,http://171.8.84.159:8800/rtp/239.16.20.5:10050$河南电信
CCTV5+,http://123.114.17.150:4000/rtp/239.3.1.130:8004$北京市联通
CCTV6,http://222.188.161.145:4022/rtp/239.49.8.76:8000$江苏电信
CCTV6,http://171.8.84.159:8800/rtp/239.16.20.6:10060$河南电信
CCTV6,http://123.114.17.150:4000/rtp/239.3.1.174:8001$北京市联通
CCTV7,http://222.188.161.145:4022/rtp/239.49.0.126:8000$江苏电信
CCTV7,http://171.8.84.159:8800/rtp/239.16.20.51:10510$河南电信
CCTV7,http://123.114.17.150:4000/rtp/239.3.1.61:8104$北京市联通
CCTV8,http://222.188.161.145:4022/rtp/239.49.8.77:8000$江苏电信
CCTV8,http://171.8.84.159:8800/rtp/239.16.20.8:10080$河南电信
CCTV8,http://123.114.17.150:4000/rtp/239.3.1.175:8001$北京市联通
CCTV9,http://222.188.161.145:4022/rtp/239.49.8.53:9814$江苏电信
CCTV9,http://171.8.84.159:8800/rtp/239.16.20.9:10090$河南电信
CCTV9,http://123.114.17.150:4000/rtp/239.3.1.62:8112$北京市联通
CCTV10,http://222.188.161.145:4022/rtp/239.49.8.54:9818$江苏电信
CCTV10,http://171.8.84.159:8800/rtp/239.16.20.10:10100$河南电信
CCTV10,http://123.114.17.150:4000/rtp/239.3.1.63:8116$北京市联通
CCTV11,http://222.188.161.145:4022/rtp/239.49.0.127:8000$江苏电信
CCTV11,http://171.8.84.159:8800/rtp/239.16.20.11:10110$河南电信
CCTV11,http://123.114.17.150:4000/rtp/239.3.1.152:8120$北京市联通
CCTV12,http://222.188.161.145:4022/rtp/239.49.8.55:9822$江苏电信
CCTV12,http://171.8.84.159:8800/rtp/239.16.20.12:10120$河南电信
CCTV12,http://123.114.17.150:4000/rtp/239.3.1.64:8124$北京市联通
CCTV13,http://222.188.161.145:4022/rtp/239.49.8.109:8000$江苏电信
CCTV13,http://171.8.84.159:8800/rtp/239.16.20.13:10130$河南电信
CCTV13,http://123.114.17.150:4000/rtp/239.3.1.124:8128$北京市联通
CCTV14,http://222.188.161.145:4022/rtp/239.49.8.56:9826$江苏电信
CCTV14,http://171.8.84.159:8800/rtp/239.16.20.14:10140$河南电信
CCTV14,http://123.114.17.150:4000/rtp/239.3.1.65:8132$北京市联通
CCTV15,http://222.188.161.145:4022/rtp/239.49.0.128:8000$江苏电信
CCTV15,http://171.8.84.159:8800/rtp/239.16.20.15:10150$河南电信
CCTV15,http://123.114.17.150:4000/rtp/239.3.1.153:8136$北京市联通
CCTV16,http://222.188.161.145:4022/rtp/239.49.8.31:8000$江苏电信
CCTV16,http://123.114.17.150:4000/rtp/239.3.1.184:8001$北京市联通
CCTV16,http://123.114.17.150:4000/rtp/239.3.1.183:8001$北京市联通
CCTV17,http://222.188.161.145:4022/rtp/239.49.8.52:9810$江苏电信
CCTV17,http://171.8.84.159:8800/rtp/239.16.20.7:10070$河南电信
CCTV17,http://123.114.17.150:4000/rtp/239.3.1.151:8144$北京市联通
CCTV4K,http://222.188.161.145:4022/rtp/239.49.0.82:8000$江苏电信
CCTV4K,http://123.114.17.150:4000/rtp/239.3.1.244:2000$北京市联通
CCTV4K,http://123.114.17.150:4000/rtp/239.3.1.245:2000$北京市联通
国学频道,http://171.8.84.159:8800/rtp/239.16.20.232:12320$河南电信

卫视频道,#genre#
湖南卫视,http://222.188.161.145:4022/rtp/239.49.8.12:9418$江苏电信
湖南卫视,http://171.8.84.159:8800/rtp/239.16.20.72:10720$河南电信
湖南卫视,http://123.114.17.150:4000/rtp/239.3.1.132:8012$北京市联通
